Table 7-1: Transportation Energy Consumption by Energy Source: 2013,,,,,,,,,,,,,,
(Trillion Btu),,,,,,,,,,,,,,
State,Natural gas1,Petroleum,,,,,,Ethanol4,Electricity,Net energy4,Electrical system energy losses5,Total4,,
,,Distillate fuel (diesel),Jet fuel,"Motor gasoline2,4",Residual fuel,Other3,Total petroleum,,,,,,,
Alabama,22.7,117.3,13.2,308.2,5.0,3.0,446.8,21.7,0.0,469.5,0.0,469.5,,
Alaska,0.9,32.0,107.3,31.3,0.0,1.2,171.9,1.7,0.0,172.8,0.0,172.8,,
Arizona,14.9,106.6,21.0,314.0,0.0,3.3,444.9,19.9,0.0,459.8,0.0,459.8,,
Arkansas,11.8,91.2,6.0,164.5,0.0,2.8,264.5,11.6,<0.05,276.3,<0.05,276.3,,
California,27.9,438.1,563.1,"1,727.1",124.1,19.6,"2,872.0",121.7,2.9,"2,902.8",5.1,"2,907.8",,
Colorado,10.2,80.4,53.5,254.5,0.0,2.8,391.3,14.8,0.2,401.7,0.5,402.2,,
Connecticut,4.5,38.3,10.8,171.0,0.0,1.6,221.6,12.1,0.6,226.8,1.2,228.0,,
Delaware,1.0,8.1,0.7,51.0,0.5,0.6,60.9,3.6,0.0,62.0,0.0,62.0,,
District of Columbia,2.5,2.0,0.0,11.5,0.0,0.2,13.7,0.8,1.1,17.3,2.4,19.8,,
Florida,12.8,225.2,180.2,981.8,57.4,7.7,"1,452.3",64.5,0.3,"1,465.4",0.6,"1,466.0",,
Georgia,9.3,181.0,22.6,576.5,26.9,5.2,812.3,37.9,0.5,822.2,1.0,823.2,,
Hawaii,<0.05,17.7,64.2,53.3,5.5,0.4,141.2,3.0,0.0,141.2,0.0,141.2,,
Idaho,6.2,41.4,4.3,81.6,0.0,1.0,128.4,4.8,0.0,134.6,0.0,134.6,,
Illinois,27.8,219.2,137.6,548.9,0.1,10.6,916.3,38.7,2.0,946.1,4.3,950.4,,
Indiana,7.8,205.4,46.7,354.0,0.6,5.2,611.9,25.0,0.1,619.8,0.2,620.0,,
Iowa,11.8,95.8,6.1,182.6,0.0,3.4,288.0,11.9,0.0,299.7,0.0,299.7,,
Kansas,23.9,97.4,10.1,152.4,0.0,3.5,263.4,8.3,0.0,287.3,0.0,287.3,,
Kentucky,7.8,127.3,48.5,253.2,0.0,3.4,432.4,17.8,0.0,440.2,0.0,440.2,,
Louisiana,41.5,150.7,123.6,269.3,70.8,4.2,618.6,19.0,<0.05,660.1,0.1,660.2,,
Maine,0.9,28.4,6.3,87.5,4.1,0.8,127.1,5.8,0.0,128.0,0.0,128.0,,
Maryland,7.7,67.8,11.1,335.0,1.2,2.0,417.2,23.5,1.8,426.7,4.2,430.9,,
Massachusetts,5.5,80.5,35.7,326.7,1.2,2.8,447.0,23.0,1.2,453.8,2.4,456.2,,
Michigan,19.8,133.7,22.1,546.7,1.5,9.3,713.2,38.5,<0.05,733.1,<0.05,733.1,,
Minnesota,12.1,103.3,33.1,294.2,0.5,4.9,435.9,24.6,0.1,448.1,0.1,448.2,,
Mississippi,25.5,88.5,56.6,191.3,4.3,1.9,342.6,13.5,0.0,368.1,0.0,368.1,,
Missouri,5.8,145.7,18.6,365.4,0.0,6.6,536.3,21.2,0.1,542.2,0.2,542.3,,
Montana,7.0,44.8,5.0,60.1,0.0,1.2,111.1,3.5,0.0,118.1,0.0,118.1,,
Nebraska,7.2,79.6,6.1,99.9,0.0,2.3,187.9,5.4,0.0,195.1,0.0,195.1,,
Nevada,5.8,43.0,26.9,130.9,0.0,1.0,201.7,7.3,<0.05,207.6,<0.05,207.6,,
New Hampshire,0.1,12.9,1.9,83.9,<0.05,0.5,99.3,5.8,0.0,99.4,0.0,99.4,,
New Jersey,7.1,119.1,204.6,473.9,34.8,4.4,836.8,33.4,1.0,845.0,2.1,847.1,,
New Mexico,9.3,72.7,6.2,111.6,0.0,1.6,192.1,7.1,0.0,201.5,0.0,201.5,,
New York,27.3,152.4,154.8,635.1,39.6,6.2,988.1,43.5,9.8,"1,025.1",17.6,"1,042.8",,
North Carolina,4.2,142.8,57.4,511.0,0.0,5.0,716.3,33.6,<0.05,720.5,0.1,720.5,,
