STATE,AUTOMOBILES_PRIVATE_AND_COMMERCIAL,PUBLICLY_OWNED_AUTOMOBILES,TOTAL_AUTOMOBILES,BUSES_PRIVATE_AND_COMMERCIAL,BUSES_PUBLICLY_OWNED,BUSES_TOTAL,TRUCKS_PRIVATE_AND_COMMERCIAL,TRUCKS_PUBLICALLY_OWNED,TOTAL_TRUCKS,MOTORCYCLES_PRIVATE_AND_COMMERCIAL,MOTORCYCLES_PUBLICLY_OWNED,MOTORCYCLES_TOTAL,ALL_MOTOR_VEHICLES_PRIVATE_AND_COMMERCIAL,ALL_MOTOR_VEHICLES_PUBLICLY_OWNED,ALL_MOTOR_VEHICLES_TOTAL
Alabama,"2,024,677","17,812","2,042,489","1,037","4,662","5,699","2,641,310","22,669","2,663,979","132,432",33,"132,465","4,799,456","45,176","4,844,632"
Alaska,"189,301","3,850","193,151","2,114","1,373","3,487","535,789","10,878","546,667","31,933",7,"31,940","759,137","16,108","775,245"
Arizona,"2,101,007","23,034","2,124,041","7,214","13,636","20,850","2,837,688","31,680","2,869,368","148,752",4,"148,756","5,094,661","68,353","5,163,015"
Arkansas ,"840,272","41,000","881,272","1,313","9,222","10,535","1,499,788","12,235","1,512,023","76,085",— ,"76,085","2,417,458","62,457","2,479,915"
California ,"12,999,038","224,784","13,223,822","54,498","38,807","93,305","13,276,984","320,518","13,597,502","772,344","15,177","787,521","27,102,864","599,286","27,702,150"
Colorado ,"1,728,413","17,775","1,746,188","7,220","4,539","11,759","2,592,033","28,035","2,620,068","183,819",62,"183,881","4,511,485","50,411","4,561,896"
Connecticut,"1,370,468","16,611","1,387,079","3,503","8,582","12,085","1,207,938","16,025","1,223,963","83,332",— ,"83,332","2,665,241","41,218","2,706,459"
Delaware,"438,074","4,039","442,113","2,610","1,855","4,465","461,636","4,698","466,334","30,730",— ,"30,730","933,050","10,592","943,642"
District of Columbia,"194,711","12,337","207,048",436,"3,866","4,302","103,213","3,643","106,856","4,008",136,"4,144","302,368","19,982","322,350"
Florida ,"7,471,652","64,204","7,535,856","13,556","17,678","31,234","7,411,442","68,302","7,479,744","619,079",73,"619,152","15,515,729","150,257","15,665,986"
Georgia ,"3,290,675","30,832","3,321,507","9,936","31,854","41,790","4,044,313","38,178","4,082,491","201,206",1,"201,207","7,546,130","100,865","7,646,995"
Hawaii,"510,652","11,152","521,804","1,841",725,"2,566","660,766","11,079","671,845","35,150",377,"35,527","1,208,409","23,333","1,231,742"
Idaho,"571,308","6,074","577,382",283,"2,197","2,480","989,250","11,151","1,000,402","63,911",53,"63,964","1,624,753","19,476","1,644,228"
Illinois ,"4,670,581","47,076","4,717,657","3,385","26,959","30,344","4,967,267","51,960","5,019,227","364,655",— ,"364,655","10,005,888","125,995","10,131,883"
Indiana,"2,417,986","21,155","2,439,141","2,575","6,179","8,754","3,305,956","27,412","3,333,368","223,103",— ,"223,103","5,949,620","54,746","6,004,366"
Iowa ,"1,333,056","10,280","1,343,336","3,928","5,327","9,255","1,953,804","24,592","1,978,396","179,733",330,"180,063","3,470,521","40,529","3,511,050"
Kansas,"945,219","14,499","959,718","2,732","1,988","4,720","1,383,283","19,932","1,403,214","81,578",— ,"81,578","2,412,811","36,419","2,449,230"
Kentucky ,"1,517,753","16,166","1,533,919","1,978","7,721","9,699","2,006,342","20,100","2,026,442","100,506",— ,"100,506","3,626,580","43,986","3,670,566"
Louisiana ,"1,471,603","28,210","1,499,813","6,633","5,884","12,517","2,293,516","15,273","2,308,789","67,486",811,"68,297","3,839,238","50,178","3,889,416"
Maine ,"469,189","5,433","474,622",540,893,"1,433","643,643","7,125","650,769","53,267",1,"53,268","1,166,639","13,453","1,180,092"
Maryland,"1,941,886","26,149","1,968,035","6,073","9,614","15,687","1,850,586","27,120","1,877,706","121,230",76,"121,306","3,919,775","62,959","3,982,734"
Massachusetts ,"2,453,950","27,532","2,481,482","8,521","2,719","11,240","2,305,542","27,474","2,333,016","124,121",— ,"124,121","4,892,134","57,725","4,949,859"
Michigan,"3,376,679","31,990","3,408,669","3,357","5,354","8,711","4,074,571","39,992","4,114,563","266,489",— ,"266,489","7,721,096","77,336","7,798,432"
Minnesota ,"2,127,475","20,796","2,148,272","5,387","7,270","12,657","2,670,596","25,714","2,696,310","241,768",— ,"241,768","5,045,226","53,781","5,099,007"
Mississippi ,"835,482","12,186","847,669","1,801","6,086","7,887","1,152,114","16,206","1,168,320","28,264",— ,"28,264","2,017,662","34,478","2,052,140"
Missouri,"2,375,420","22,933","2,398,353","3,573","2,703","6,276","3,074,901","29,266","3,104,166","175,887",— ,"175,887","5,629,780","54,902","5,684,682"
Montana ,"428,335","4,929","433,264","3,404",321,"3,725","883,298","9,448","892,746","158,871",2,"158,873","1,473,909","14,699","1,488,608"
Nebraska,"705,329","26,909","732,238",656,"3,216","3,872","1,084,541","14,974","1,099,515","52,853",— ,"52,853","1,843,379","45,099","1,888,478"
Nevada ,"923,184","9,621","932,805",656,"3,207","3,863","1,110,961","13,062","1,124,022","69,634",7,"69,641","2,104,434","25,896","2,130,331"
New Hampshire ,"554,717","5,699","560,416","1,881","1,475","3,356","651,842","6,950","658,792","79,877",— ,"79,877","1,288,317","14,124","1,302,441"
New Jersey ,"3,931,287","39,978","3,971,265","13,002","6,604","19,606","3,549,817","38,316","3,588,133","332,470",— ,"332,470","7,826,576","84,898","7,911,474"
New Mexico,"663,677","12,060","675,737","1,020","4,391","5,411","1,040,028","17,948","1,057,976","66,666",— ,"66,666","1,771,391","34,399","1,805,790"
New York ,"4,991,599","84,605","5,076,204","15,201","10,483","25,684","4,921,072","80,371","5,001,443","345,409",3,"345,412","10,273,281","175,463","10,448,743"
North Carolina ,"3,407,241","38,124","3,445,365","8,922","29,242","38,164","4,076,171","33,651","4,109,822","199,152",53,"199,205","7,691,485","101,070","7,792,555"
North Dakota,"245,398","3,783","249,181","1,074","1,461","2,535","518,669","5,960","524,628","34,009",2,"34,011","799,150","11,205","810,355"
Ohio,"4,696,974","41,083","4,738,058","15,431","2,754","18,185","4,974,738","45,580","5,020,317","339,677",11,"339,688","10,026,820","89,428","10,116,248"
Oklahoma ,"1,347,325","14,013","1,361,339",517,"1,429","1,946","1,929,047","19,924","1,948,971","127,679",2,"127,681","3,404,569","35,369","3,439,937"
Oregon,"1,439,867","16,122","1,455,989","1,404","1,774","3,178","1,959,199","22,748","1,981,947","86,123",— ,"86,123","3,486,593","40,644","3,527,237"
Pennsylvania,"4,728,296","46,221","4,774,517","18,217","18,762","36,979","5,169,948","70,687","5,240,635","418,572",710,"419,282","10,335,033","136,380","10,471,413"
Rhode Island ,"448,890","7,536","456,426",106,"2,076","2,182","356,489","6,184","362,673","32,989",89,"33,078","838,474","15,885","854,359"
South Carolina,"1,695,615","17,239","1,712,854","5,661","11,423","17,084","2,033,292","21,363","2,054,655","111,770",469,"112,239","3,846,338","50,494","3,896,832"
South Dakota ,"327,336","4,326","331,662",232,"2,048","2,280","584,670","11,607","596,277","72,927",425,"73,352","985,165","18,406","1,003,571"
Tennessee ,"2,209,551","23,033","2,232,584","5,780","6,248","12,028","2,950,628","29,855","2,980,483","167,566",— ,"167,566","5,333,525","59,136","5,392,661"
Texas ,"7,679,657","142,202","7,821,859","2,545","95,140","97,685","11,597,044","273,135","11,870,179","444,514","3,885","448,399","19,723,760","514,362","20,238,122"
Utah,"823,885","8,312","832,197","4,053","2,600","6,653","1,063,348","16,324","1,079,672","62,747",72,"62,819","1,954,033","27,308","1,981,341"
Vermont,"248,196","3,241","251,437","1,258",830,"2,088","319,326","3,400","322,725","30,691",— ,"30,691","599,471","7,470","606,941"
Virginia,"3,227,954","77,957","3,305,911","29,812","1,405","31,217","3,539,706","40,468","3,580,174","198,813",676,"199,489","6,996,285","120,506","7,116,791"
Washington ,"2,514,500","28,247","2,542,747","10,728","9,580","20,308","3,034,880","34,709","3,069,589","217,300",1,"217,301","5,777,409","72,536","5,849,945"
West Virginia,"510,947","26,184","537,131",931,"3,541","4,472","845,357","859,278","56,541","1,380","57,921","1,413,776","45,026","1,458,802","13,921"
Wisconsin ,"2,208,576","12,921","2,221,497",771,"14,540","15,311","2,638,553","2,697,512","280,954",20,"280,974","5,128,854","86,440","5,215,294","58,959"
Wyoming ,"209,408","3,380","212,789","1,257","1,703","2,960","545,075","552,337","31,316",3,"31,319","787,056","12,349","799,405","7,263"
Total,"109,834,272","1,455,635","111,289,906","300,563","463,946","764,509","131,321,968","133,130,032","8,429,988","24,951","8,454,939","249,886,790","3,752,596","253,639,386","1,808,064"
